,0,1
0,2,당뇨로 고생 중인데 아내가 이혼하자더군. 아내가 날 버리면 병은 더 악화될 텐데 세상에 나 혼자 남은 기분이야.
1,1,요즘 코로나 때문에 김 할아버지를 만나러 가지 못하고 있어.
2,4,오늘 오빠가 나 때문에 엄마랑 싸웠어.
3,2,최근 물난리로 인해 직장동료가 죽었어. 다들 슬픔에 잠겨 있어.
4,5,아파트 부녀회장과 부녀회의 참석 문제로 의견 충돌이 생겼어. 정말 스트레스받아.
5,0,우리아이가 일찍 철이 들고 성숙해서 우리는 편안하게 육아를 했어
6,0,주식 투자로 남편이 기분이 좋은가 봐.
7,0,지금 여자친구랑 연애하길 잘했다.
8,2,오늘 친구를 만났는데 정말 실망스러웠어.
9,3,또 면접에서 떨어졌어. 일이 잘 안 풀리니까 부모님께 죄책감이 들어.
10,3,재정적으로 열등감이 들어.
11,4,다른 직장 동료들은 명품 하나씩 있는데 난 그럴 수가 없어.
12,4,건강때문에 너무 괴로워.
13,3,친구들은 다 결혼했는데 나만 못한것 같아서 내가 너무 초라해보여.
14,5,노후준비가 안 돼서 막막해.
15,1,남자친구한테 연락이 안 와서 초조해.
16,4,취업 준비를 하는데 돈이 너무 많이 들어. 부모님이 도와주는 다른 친구들에 비해 금전 상황이 안 좋다 보니 내 처지가 하루하루 더 힘들게 느껴져.
17,2,직장 생활이 갈수록 힘들어.
18,0,가족이 화목해서 좋아.
19,5,내가 폐암 이라니.
20,5,노망난 남편이 또 귀찮게 굴까 봐 오늘 어쩔 수 없이 밥을 차려주었어.
21,3,가족들이 나를 집에서 없는 사람 취급해서 너무 외로워.
22,0,며칠 후에 할머니 댁에 가기로 했어. 벌써 기대돼.
23,0,과장님은 회사에서 가장 믿을만한 사람이야.
24,3,난 아직 진로를 못 정했는데 다른 친구들보다 뒤처지는 느낌이 들어.
25,3,내게 잘해주는 친구가 있었는데 내 부탁을 거절해서 그 친구의 비밀을 다른 사람에게 말하고 다녔어.
26,5,회사에서 권고사직을 권유해 실업급여를 받도록 요청했는데 거절당해서 화가 나.
27,2,내 동생이 크게 사기당해서 모은돈을 다 잃게 생겼어.
28,4,올해 아이가 태어나는데 수입이 적어서 많이 걱정돼.
29,3,나 외로워.
30,3,앞으로 어떤 직업을 가지고 살아야 할지 모르겠어.
31,3,김 부장이 갑자기 자신의 업무를 나에게 떠넘겼어.
32,0,내가 오늘 친구들에게 욕설을 들었는데 선생님이 다가와서 막아주셨어. 감사한데 어떻게 표현해야 할지 모르겠네.
33,3,매번 저렇게 놀기만 하는 남편이 너무 싫어.
34,5,하필 왜 그날 가족 사진을 찍기로 한 건지 다들 정말 생각이 없어.
35,1,아내가 나와 싸우고 집을 나갔어. 너무 걱정된다.
36,2,나중에 귀농하려고 땅을 샀는데 땅값이 폭락했어.
37,5,내 남자친구는 결혼 이야기만 하면 방어적인 태도를 보여. 정말 서운해.
38,1,친구가 하는 말이 진짜인지 아닌지 모르겠어.
39,2,나는 세상이 어둡고 희망이 없는 거 같아.
40,2,요즘 몸이 부쩍 말을 잘 안 듣네.  여기저기 안아픈데가 없는거 같아.
41,3,돈을 보니 고립되는 기분이야.
42,5,녹내장 이후 시력이 안좋아졌어.진짜 열받는건 실직해서 돈도 없다는거지.
43,5,대인관계에 구역질 나.
44,5,친구들이 내가 살려달라고 도움 요청했는데 아무도 도와주지 않았어.
45,3,동생이 철없는 행동을 할때마다 너무 한심해보여.
46,5,아들하고 말이 안 통하는 거 같아.
47,3,나이 먹고 돈 없으니까 만나주는 사람도 없고 외롭네.
48,0,어제 힘든 일이 있었는데 엄마가 내 말을 다 들어줬어.
49,3,우리 부서 상사가 다른 여직원 성추행을 했대. 같은 공간에 있다는 게 너무 불쾌해.
50,5,자연 임신이 안 돼서 인공수정을 시도했는데 실패한 것 같아. 나는 아기를 가질 수 없는 사람인가 봐.
51,1,경제적으로 너무 힘들어. 아르바이트라도 구해야할텐데
52,0,와이프가 드디어 출산하러간대 ! 아이를 드디어 만날수 있다는 생각에 너무 떨려.
53,1,진로에 대해 회의감이 들어.
54,1,건강검진에서 이상이 발견되어서 큰 병원에서 검사를 받았어. 결과가 어떨지 너무 초조해.
55,3,앞으로 어떻게 살아야 할 지 막막하네.
56,5,자식들이 엄마 생일이라면 적어도 생일 선물은 사줘야하는 거 아니야?
57,4,나이 먹고 돈도 없고 몸도 아프니 맨날 병원만 다니느라 친구들 본지도 오래야.
58,3,남편이 죽으면서 내게 남긴 사망보험금인지 모르고 친구들이 부럽다고 해.
59,2,우리는 이 길이 아니면 살 수 없는 걸까? 경쟁하는 게 너무 힘들어.
60,4,경로당을 갔는데 누가 반겨주지도 않아. 참 무안하고 상처가 되는 것 같아.
61,4,내가 병에 걸리니까 아내가 나를 두고 집을 나갔어. 옆에 아무도 없고 혼자 살기 두려워.
62,2,후배한테 잘해주지 못해 후회가 돼.
63,3,집에 왔는데 아무도 없어. 너무 어두워
64,0,만성질환으로 고생하는 내게 사람들이 후원금을 주었어.
65,2,노후 준비를 열심히 했는데 결과는 실망스러워.
66,2,학교에서 친했던 애들이 갑자기 날 무시해서 학교생활이 너무 우울해.
67,3,은퇴하고 나면 뭘 해야 할 지 모르겠어.
68,3,나는 배 나온 걸 정말 싫어해.
69,1,친구가 맞춤법이 엉망이라 고쳐주고 싶은데 알게된지 얼마 안 된 친구라 조심스러워.
70,4,결혼을 약속한 여자 친구가 나에게 집이라 해놓고 시내에서 친구들과 술을 마시고 있는 것을 보고 배신감을 느꼈어.
71,2,건강에 환멸나.
72,2,더 이상 아빠랑 연락하지 않을거야.
73,4,대인관계를 위해서 희생과 도움주기는 당연하다고 생각해.
74,0,얼마 전에 밤에 모르는 아저씨가 우리 집 벨을 누르더라고.
75,0,남은 인생을 위해 사업을 구상 중이었는데 나를 돕고 싶다는 사람이 나타났어.
76,0,기분 정말 최고야!
77,0,내 건강을 믿어.
78,1,내일 진급자 발표인데 너무 초조해.
79,3,난 그동안 친구가 학교 폭력을 당하고 있는 걸 알면서도 당황해서 모른 척했어.
80,2,회사가 어려워져서 연봉을 삭감한 뒤 아이들이 달라는 용돈을 못 줘 침울해.
81,1,아픈데도 없는데 나이가 드니 죽음에 대한 공포에 당혹스러워.
82,3,점점 이 세상에서 내가 고립되는거 같아.
83,1,친구들은 다 차가 있는데 나만 없는 것 같아 왠지 불안하네.
84,5,내신성적이 한 과목만 잘 안 나와서 고민이야.
85,5,왜 건강을 챙기는데도 힘들까.
86,0,회사에서 전체 부서 중에 우리 부서가 영업 실적 일등을 했어.
87,3,요새 사람 만나기가 싫어.
88,5,친구가 꽃무릇을 보러 가자고 해놓고 오늘 다른 친구들과 다녀와서 동영상을 보여주는 거야.
89,0,항상 쫒기듯 살아왔는데 이젠 조금 느긋해지는군.
90,1,이번에 맡은 업무가 내 능력 밖이라 걱정스러워. 잘할 수 있을지 모르겠어.
91,2,면접을 잘 봤다고 생각했는데 이번에도 합격하지 못한 것 같아.
92,5,내 친구가 오늘 나에게 반에서 학교폭력을 당하고 있다고 말해서 학교폭력을 하는 친구들에게 화가 났어.
93,0,나는 이번에 꼭 승진 할 수 있을거야.
94,4,재정문제로 괴로워.
95,3,이제 중년인데 벌써 몸이 많이 안좋아졌어.
96,2,여태껏 건강관리잘했는데 나아지는게 없네. 혈압도 그대로고.
97,1,대학 진학 때문에 학과를 고민하고 있어. 그런데 공무원 같은 안정적인 직장에 갈 수 없는 과를 선택해도 괜찮을지 모르겠어.
98,2,나이가 육십이 되니 친구들도 더 줄어드는거 같아 우울해.
99,1,사십살인데 결혼 못 해서 불안해.
